tweet,topic,label,opinion_towards,sentiment,text,target_in_tweet,seen?
Thanks @izzybugatti for participating! WE are lucky to have YOU here in Iowa. #FellowsIA #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""thanks"", ""participating"", ""lucky"", ""iowa"", ""fellows"", ""ia"", ""sem"", ""st""]]",0,1
@dedicated_to_it i think the main problem is having your foot in your mouth in the first place. #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""think"", ""main"", ""problem"", ""foot"", ""mouth"", ""first"", ""place"", ""sem"", ""st""]]",0,1
"@JessieJaneDuff Results matter. U may feel less safe, but that is ur mental health issues. No 9/11s on Obama's watch #SemST","[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""results"", ""matter"", ""u"", ""may"", ""feel"", ""less"", ""safe"", ""ur"", ""mental"", ""health"", ""issues"", ""911s"", ""obamas"", ""watch"", ""sem"", ""st""]]",0,1
@HillaryIn2016 hey I just checked your blog. Kudos! Keep it up! #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""hey"", ""checked"", ""blog"", ""kudos"", ""keep"", ""sem"", ""st""]]",1,1
"@TheView I think our country is ready for a female pres, it can't ever be Hillary","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""think"", ""country"", ""ready"", ""female"", ""pres"", ""cant"", ""ever"", ""hillary""]]",1,1
Hillary can not win. Here's hoping the Dems offer a real candidate like Warren. #Warren2016,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hillary"", ""win"", ""heres"", ""hoping"", ""dems"", ""offer"", ""real"", ""candidate"", ""like"", ""warren"", ""warren"", ""2016""]]",1,1
"I'd love for some reporter to ask, ""Sec Clinton, will u b returning the White House china, if elected? Or did u already hock it? #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""id"", ""love"", ""reporter"", ""ask"", ""sec"", ""clinton"", ""u"", ""b"", ""returning"", ""white"", ""house"", ""china"", ""elected"", ""u"", ""already"", ""hock"", ""sem"", ""st""]]",1,1
"@RNRNewYork in her #Emails @HillaryClinton said there were ""a couple of Facebooks"" on her :) #TotalIncompetence #RedNationRising #SemST","[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""emails"", ""said"", ""couple"", ""facebooks"", ""total"", ""incompetence"", ""red"", ""nation"", ""rising"", ""sem"", ""st""]]",1,1
I really need my new @HillaryClinton shirt to come in. Meeting some people at the brewery same night as a Bernie meetup there. #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""really"", ""need"", ""new"", ""shirt"", ""come"", ""meeting"", ""people"", ""brewery"", ""night"", ""bernie"", ""meetup"", ""sem"", ""st""]]",1,1
"@liars_never_win @HillaryClinton shhh, go get me an iced tea..... #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""shhh"", ""go"", ""get"", ""iced"", ""tea"", ""sem"", ""st""]]",1,1
"#Putin, #NothingMoreAmericanThan voting based for a politician to lead the country when she can't even handle email. #think #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""putin"", ""nothing"", ""american"", ""voting"", ""based"", ""politician"", ""lead"", ""country"", ""cant"", ""even"", ""handle"", ""email"", ""think"", ""sem"", ""st""]]",0,1
Can @DavidCornDC help Cuckold Conservatives win in 2016!  More cuckoldry please!  #Christie2016 #DonaldTrump #UniteBlue #p2 #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""help"", ""cuckold"", ""conservatives"", ""win"", ""2016"", ""cuckoldry"", ""please"", ""christie"", ""2016"", ""donald"", ""trump"", ""unite"", ""blue"", ""p"", ""2"", ""sem"", ""st""]]",0,1
"Hillary has sacrificed more Ambassadors, told more lies, hid and destroyed more evidence... The beat goes on,,, @McSadie #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hillary"", ""sacrificed"", ""ambassadors"", ""told"", ""lies"", ""hid"", ""destroyed"", ""evidence"", ""beat"", ""goes"", ""sem"", ""st""]]",1,1
Let's shatter the glass ceiling! - @GerryConnolly #VAdems #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""lets"", ""shatter"", ""glass"", ""ceiling"", ""va"", ""dems"", ""sem"", ""st""]]",0,1
@NRO Does @johnpodesta have any grasp on reality? I need more than 140 characters to address someone as naive as this man. #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""grasp"", ""reality"", ""need"", ""140"", ""characters"", ""address"", ""someone"", ""naive"", ""man"", ""sem"", ""st""]]",0,1
I can vote in 2016 after all ayyyyyyyyyy #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""vote"", ""2016"", ""ayyyyyyyyyy"", ""sem"", ""st""]]",0,1
"Hillary must have been at the Navy Yard, under sniper fire!  #SemST","[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""hillary"", ""must"", ""navy"", ""yard"", ""sniper"", ""fire"", ""sem"", ""st""]]",1,1
Chris Christie for President? HAHAHAHAHA!  I don't think so!  @HillaryClinton #Clinton #Hilary #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""chris"", ""christie"", ""president"", ""hahahahaha"", ""dont"", ""think"", ""clinton"", ""hilary"", ""sem"", ""st""]]",1,1
Who's monica Lewinsky's favorite football player? Ha-Ha Clinton Dix  #SemST,"[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""whos"", ""monica"", ""lewinskys"", ""favorite"", ""football"", ""player"", ""haha"", ""clinton"", ""dix"", ""sem"", ""st""]]",1,1
@debaterlife took me a minute to realize where this came from #SemST,"[""hillary"", ""clinton""]",2,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",other,"[[""took"", ""minute"", ""realize"", ""came"", ""sem"", ""st""]]",0,1
If you need me I'll be screaming like a little baby from now until about ten minutes after @HillaryClinton arrives in #PTown. #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""need"", ""ill"", ""screaming"", ""like"", ""little"", ""baby"", ""ten"", ""minutes"", ""arrives"", ""pt"", ""sem"", ""st""]]",1,1
"Wasn't the original #ScoobyVan also full of unemployed hippies & a stupid dog, who lived to meddle in other people's business? #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""wasnt"", ""original"", ""scooby"", ""van"", ""also"", ""full"", ""unemployed"", ""hippies"", ""stupid"", ""dog"", ""lived"", ""meddle"", ""peoples"", ""business"", ""sem"", ""st""]]",0,1
"@Chris_1791 @TruthRevolt That doesn't leave much to talk about, then, does it? #SemST","[""hillary"", ""clinton""]",2,"3.  The tweet is not explicitly expressing opinion. (For example, the tweet is simply giving information.)",neg,"[[""doesnt"", ""leave"", ""much"", ""talk"", ""sem"", ""st""]]",0,1
"@LVNancy @incessantpatrio @bcwilliams92 Yes! #SoMuchUgly in #HillaryClinton, Hollow Acts Are Infamous! #WhyImNotVotingForHillary #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""yes"", ""much"", ""ugly"", ""hillary"", ""clinton"", ""hollow"", ""acts"", ""infamous"", ""im"", ""voting"", ""hillary"", ""sem"", ""st""]]",1,1
"I hate Hillary Clinton and Obama, please go die together  thrown into the ocean get ripped into prices by sharks. #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hate"", ""hillary"", ""clinton"", ""obama"", ""please"", ""go"", ""die"", ""together"", ""thrown"", ""ocean"", ""get"", ""ripped"", ""prices"", ""sharks"", ""sem"", ""st""]]",1,1
"Hillary has flipped yet again, and is now pro-sanctuary cities. #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""hillary"", ""flipped"", ""yet"", ""prosanctuary"", ""cities"", ""sem"", ""st""]]",1,1
@businessinsider One thing that's painful is the mindless minutiae her strap hanging cling-ons force her to endure. #huma #SemST,"[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""one"", ""thing"", ""thats"", ""painful"", ""mindless"", ""minutiae"", ""strap"", ""hanging"", ""clingons"", ""force"", ""endure"", ""huma"", ""sem"", ""st""]]",0,1
This weekend is the Hillary For America Weekend of Action & I hope you'll participate. -L #California #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""weekend"", ""hillary"", ""america"", ""weekend"", ""action"", ""hope"", ""youll"", ""participate"", ""l"", ""california"", ""sem"", ""st""]]",1,1
"Based on the long lines, I thought it was free burrito day at Pancheros but it was actually Hillary! #ReadyForHillary #SemST","[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""based"", ""long"", ""lines"", ""thought"", ""free"", ""burrito"", ""day"", ""pancheros"", ""actually"", ""hillary"", ""ready"", ""hillary"", ""sem"", ""st""]]",1,1
@SaysMissy HRC takes us Americans for mindless fools!! How insulting! #PJNET #OiP #SemST,"[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""hrc"", ""takes"", ""us"", ""americans"", ""mindless"", ""fools"", ""insulting"", ""pjnet"", ""oi"", ""sem"", ""st""]]",0,1
"Only in a SEXIST AS FUK world would we question the ""qualifications"" of a former SECRETARY OF STATE. #SemST","[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""sexist"", ""fuk"", ""world"", ""would"", ""question"", ""qualifications"", ""former"", ""secretary"", ""state"", ""sem"", ""st""]]",0,1
People should and do trust me.  -woman who also denied getting a subpoena Trey Gowdy served her before she deleted emails #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""people"", ""trust"", ""woman"", ""also"", ""denied"", ""getting"", ""subpoena"", ""trey"", ""gowdy"", ""served"", ""deleted"", ""emails"", ""sem"", ""st""]]",0,1
"Wow RT ""@greta Baltimore Orioles to play tomorrow but no public allowed"" #BaltimoreRiots #FreddieGray #ThanksObama #WakeUpAmerica #SemST","[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""wow"", ""rt"", ""baltimore"", ""orioles"", ""play"", ""tomorrow"", ""public"", ""allowed"", ""baltimore"", ""riots"", ""freddie"", ""gray"", ""thanks"", ""obama"", ""wake"", ""america"", ""sem"", ""st""]]",0,1
Just think how many emails Hillary Clinton can delete with today's #leapsecond #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""think"", ""many"", ""emails"", ""hillary"", ""clinton"", ""delete"", ""todays"", ""leapsecond"", ""sem"", ""st""]]",1,1
"Folks, this is what happens when Liberals are in control! All hell breaks loose! Had enough yet? #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""folks"", ""happens"", ""liberals"", ""control"", ""hell"", ""breaks"", ""loose"", ""enough"", ""yet"", ""sem"", ""st""]]",0,1
@GOP Why should I believe you on this? The GOP leaders in congress won't fight Obama now!!! #tcot #SemST,"[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""believe"", ""gop"", ""leaders"", ""congress"", ""wont"", ""fight"", ""obama"", ""tcot"", ""sem"", ""st""]]",0,1
If you support @HillaryClinton you are supporting another term of the policies of George W Bush. #democrats #mepolitics #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""support"", ""supporting"", ""another"", ""term"", ""policies"", ""george"", ""w"", ""bush"", ""democrats"", ""mepolitics"", ""sem"", ""st""]]",1,1
"@Slate @pinkbunny70 Buh-bye, Bernie. I agree w/most of your platform, but your gun stance is unacceptable. #ENDTHENRA #SemST","[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""buhbye"", ""bernie"", ""agree"", ""wmost"", ""platform"", ""gun"", ""stance"", ""unacceptable"", ""endthenra"", ""sem"", ""st""]]",0,1
I dislike our idiots as much as I dislike theirs. #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""dislike"", ""idiots"", ""much"", ""dislike"", ""sem"", ""st""]]",0,1
I'm really excited for 2016 after finding out the amount @HillaryClinton raised. We got this. #SemST,"[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,pos,"[[""im"", ""really"", ""excited"", ""2016"", ""finding"", ""amount"", ""raised"", ""got"", ""sem"", ""st""]]",1,1
@roughcountry451 @vendettajane Fortunately Bryan he does not have a saying on that  #freeallfour #SemST,"[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""fortunately"", ""bryan"", ""saying"", ""freeallfour"", ""sem"", ""st""]]",0,1
@HillaryClinton loving the new colorful profile pic! #loveit #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""loving"", ""new"", ""colorful"", ""profile"", ""pic"", ""loveit"", ""sem"", ""st""]]",1,1
@WSJ . Clinton Foundation to keep accepting bribes from foreign governments #WhyImNotVotingForHillary,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""clinton"", ""foundation"", ""keep"", ""accepting"", ""bribes"", ""foreign"", ""governments"", ""im"", ""voting"", ""hillary""]]",1,1
H stands for Holding Back e-mails belonging to #WeThePeople #obstructingjustice #WakeUpAmerica #HillaryLiesMatter #UniteBIue #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""h"", ""stands"", ""holding"", ""back"", ""emails"", ""belonging"", ""people"", ""obstructingjustice"", ""wake"", ""america"", ""hillary"", ""lies"", ""matter"", ""unite"", ""bi"", ""ue"", ""sem"", ""st""]]",1,1
@realDonaldTrump @WhoopiGoldberg @Univision #VoteForHillary @HillaryClinton isn't racist. A leader who demands #EqualityForAll #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""vote"", ""hillary"", ""isnt"", ""racist"", ""leader"", ""demands"", ""equality"", ""sem"", ""st""]]",1,1
.@HillaryClinton is a liar & corrupt.  Period. End of story.  #criminal #liar #hillaryforprison #uppers #tcot #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""liar"", ""corrupt"", ""period"", ""end"", ""story"", ""criminal"", ""liar"", ""hillaryforprison"", ""uppers"", ""tcot"", ""sem"", ""st""]]",1,1
"@ReformedBroker ""to da honies gittin money playing #bleep words like dummies"" #POPPA #SemST","[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""da"", ""honies"", ""gittin"", ""money"", ""playing"", ""bleep"", ""words"", ""like"", ""dummies"", ""poppa"", ""sem"", ""st""]]",0,1
"Mining is where all the money is but our ""Leader"" says otherwise #ArrestObama #RedNationRising #OperationBendOver #NoSanctuary #SemST","[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""mining"", ""money"", ""leader"", ""says"", ""otherwise"", ""arrest"", ""obama"", ""red"", ""nation"", ""rising"", ""operation"", ""bend"", ""sanctuary"", ""sem"", ""st""]]",0,1
".@HillaryClinton The spatula seems appropriate, given that it can be used to easily flip positions if the heat gets to high. #SemST","[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""spatula"", ""seems"", ""appropriate"", ""given"", ""used"", ""easily"", ""flip"", ""positions"", ""heat"", ""gets"", ""high"", ""sem"", ""st""]]",1,1
@LaureneDiCillo @NBCNews @dl34l And why are major media outlets not exposing Hillary's blatant flip flopping on this issue. #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""major"", ""media"", ""outlets"", ""exposing"", ""hillarys"", ""blatant"", ""flip"", ""flopping"", ""issue"", ""sem"", ""st""]]",1,1
@thehill : Women deserve a better candidate for the HIGH HONOR if first woman President: We ALL do! #WhyI'mNotVotingForHillary #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""women"", ""deserve"", ""better"", ""candidate"", ""high"", ""honor"", ""first"", ""woman"", ""president"", ""voting"", ""hillary"", ""sem"", ""st""]]",1,1
Low key it would be interesting to have a female president. #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""low"", ""key"", ""would"", ""interesting"", ""female"", ""president"", ""sem"", ""st""]]",0,1
Whatever is the GOP going to do now with both marriage equality and the ACA? Going to be fun to watch! #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""whatever"", ""gop"", ""going"", ""marriage"", ""equality"", ""aca"", ""going"", ""fun"", ""watch"", ""sem"", ""st""]]",0,1
I bet Leslie Knope would be so happy about #SemST,"[""hillary"", ""clinton""]",1,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""bet"", ""leslie"", ""knope"", ""would"", ""happy"", ""sem"", ""st""]]",0,1
@AC360 asked @realDonaldTrump the tough questions.  Too bad @CNN didn't ask @HillaryClinton the tough questions.  #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""asked"", ""tough"", ""questions"", ""bad"", ""didnt"", ""ask"", ""tough"", ""questions"", ""sem"", ""st""]]",1,1
Lets remember #dickcheney is an unindicted war criminal b4 we start yelling #Benghazi day after day. Will we ever see justice? #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""lets"", ""remember"", ""dickcheney"", ""unindicted"", ""war"", ""criminal"", ""b4"", ""start"", ""yelling"", ""benghazi"", ""day"", ""day"", ""ever"", ""see"", ""justice"", ""sem"", ""st""]]",0,1
@CiaraAntaya cuz you know I'm such a feminist ,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,other,"[[""cuz"", ""know"", ""im"", ""feminist""]]",0,1
@msnbc @Lawrence @JoeBiden @SenSanders  we love Joe and Bernie--but they ARE too OLD--they would end up a #OneTerm President #SemST,"[""hillary"", ""clinton""]",0,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""love"", ""joe"", ""berniebut"", ""oldthey"", ""would"", ""end"", ""one"", ""term"", ""president"", ""sem"", ""st""]]",0,1
Why did you lie about the #Benghazi subpoena? @HillaryClinton  No wonder no one trusts you.  #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""lie"", ""benghazi"", ""subpoena"", ""wonder"", ""one"", ""trusts"", ""sem"", ""st""]]",1,1
@HillaryClinton Will #pervert #BillClinton be there if winner is teen girl? #HillaryClinton #Democrats #liberals #tlot #GOP #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""pervert"", ""bill"", ""clinton"", ""winner"", ""teen"", ""girl"", ""hillary"", ""clinton"", ""democrats"", ""liberals"", ""tlot"", ""gop"", ""sem"", ""st""]]",1,1
"#CarlyFiorina on #hannity, very impressive. A serious presidential candidate vs. A bad actress. #SemST","[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",pos,"[[""carly"", ""fiorina"", ""hannity"", ""impressive"", ""serious"", ""presidential"", ""candidate"", ""vs"", ""bad"", ""actress"", ""sem"", ""st""]]",0,1
7 years ago this month #POTUS released his groundbreaking First Americans tribal policy platform. You're up #Election2016 #SemST,"[""hillary"", ""clinton""]",2,2. The tweet does NOT expresses opinion about the target but it HAS opinion about something or someone other than the target.,neg,"[[""7"", ""years"", ""ago"", ""month"", ""potus"", ""released"", ""groundbreaking"", ""first"", ""americans"", ""tribal"", ""policy"", ""platform"", ""youre"", ""election"", ""2016"", ""sem"", ""st""]]",0,1
@HillaryClinton Pin the tail on the DONKEY!  That means you Hilldawg.  #BernieSanders  #Jeb2016 #Cruz2016 #Election2016  #Rubio #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""pin"", ""tail"", ""donkey"", ""means"", ""hilldawg"", ""bernie"", ""sanders"", ""jeb"", ""2016"", ""cruz"", ""2016"", ""election"", ""2016"", ""rubio"", ""sem"", ""st""]]",1,1
Obama:  climate change or bush?  Who to blame...?  Hillary:  right wing conspiracy in Baltimore. #BalitmoreRiots #SemST,"[""hillary"", ""clinton""]",0,"1.  The tweet explicitly expresses opinion about the target, a part of the target, or an aspect of the target.",neg,"[[""obama"", ""climate"", ""change"", ""bush"", ""blame"", ""hillary"", ""right"", ""wing"", ""conspiracy"", ""baltimore"", ""balitmore"", ""riots"", ""sem"", ""st""]]",1,1
